图片名称: 003458, 时间戳: 2025-12-18 17:45:59, 缺陷类别: 划痕(scratches), 推理用时: 0.5693 秒, 背景占比: 97.71%, 缺陷占比: 2.29%
图片名称: 001366, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0028 秒, 背景占比: 74.08%, 缺陷占比: 25.92%
图片名称: 001864, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0028 秒, 背景占比: 89.20%, 缺陷占比: 10.80%
图片名称: 000673, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0031 秒, 背景占比: 99.57%, 缺陷占比: 0.43%
图片名称: 000901, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0028 秒, 背景占比: 97.48%, 缺陷占比: 2.52%
图片名称: 001484, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0038 秒, 背景占比: 95.93%, 缺陷占比: 4.08%
图片名称: 001651, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0032 秒, 背景占比: 97.76%, 缺陷占比: 2.24%
图片名称: 001688, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 98.17%, 缺陷占比: 1.83%
图片名称: 001680, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 97.25%, 缺陷占比: 2.74%
图片名称: 000402, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 93.40%, 缺陷占比: 6.60%
图片名称: 000584_test, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 97.14%, 缺陷占比: 2.86%
图片名称: 000738, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0040 秒, 背景占比: 87.47%, 缺陷占比: 12.53%
图片名称: 003893, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0035 秒, 背景占比: 89.89%, 缺陷占比: 10.11%
图片名称: 002168, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches)、划痕(scratches), 推理用时: 0.0032 秒, 背景占比: 57.22%, 缺陷占比: 42.78%
图片名称: 003112, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0034 秒, 背景占比: 54.63%, 缺陷占比: 45.37%
图片名称: 001301, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0028 秒, 背景占比: 83.64%, 缺陷占比: 16.36%
图片名称: 000512, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 52.36%, 缺陷占比: 47.64%
图片名称: 004024, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0032 秒, 背景占比: 94.69%, 缺陷占比: 5.31%
图片名称: 000715, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 82.36%, 缺陷占比: 17.64%
图片名称: 000053, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0028 秒, 背景占比: 97.19%, 缺陷占比: 2.81%
图片名称: 001673, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 98.60%, 缺陷占比: 1.40%
图片名称: 003713, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0028 秒, 背景占比: 81.23%, 缺陷占比: 18.77%
图片名称: 001025, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0028 秒, 背景占比: 98.03%, 缺陷占比: 1.97%
图片名称: 002418, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 89.91%, 缺陷占比: 10.09%
图片名称: 000993, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0028 秒, 背景占比: 85.01%, 缺陷占比: 14.99%
图片名称: 001691, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 93.89%, 缺陷占比: 6.11%
图片名称: 001148, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0028 秒, 背景占比: 84.39%, 缺陷占比: 15.61%
图片名称: 000763, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches)、划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 88.59%, 缺陷占比: 11.41%
图片名称: 000276_test, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0028 秒, 背景占比: 86.31%, 缺陷占比: 13.69%
图片名称: 002918, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0030 秒, 背景占比: 97.17%, 缺陷占比: 2.83%
图片名称: 003153, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0028 秒, 背景占比: 78.04%, 缺陷占比: 21.96%
图片名称: 000165, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0028 秒, 背景占比: 83.08%, 缺陷占比: 16.91%
图片名称: 001005, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0028 秒, 背景占比: 88.62%, 缺陷占比: 11.38%
图片名称: 003216, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0028 秒, 背景占比: 78.06%, 缺陷占比: 21.93%
图片名称: 002981, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0028 秒, 背景占比: 95.53%, 缺陷占比: 4.47%
图片名称: 001843, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0036 秒, 背景占比: 94.73%, 缺陷占比: 5.27%
图片名称: 003015, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0028 秒, 背景占比: 85.76%, 缺陷占比: 14.24%
图片名称: 004333, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches)、划痕(scratches), 推理用时: 0.0029 秒, 背景占比: 76.94%, 缺陷占比: 23.06%
图片名称: 000611, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 95.98%, 缺陷占比: 4.02%
图片名称: 002117, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 89.63%, 缺陷占比: 10.37%
图片名称: 001307, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0028 秒, 背景占比: 48.50%, 缺陷占比: 51.50%
图片名称: 000098, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0028 秒, 背景占比: 79.25%, 缺陷占比: 20.76%
图片名称: 000990, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0028 秒, 背景占比: 92.30%, 缺陷占比: 7.70%
图片名称: 000983, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0028 秒, 背景占比: 97.40%, 缺陷占比: 2.60%
图片名称: 003123, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0028 秒, 背景占比: 67.27%, 缺陷占比: 32.73%
图片名称: 004382, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches)、划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 90.89%, 缺陷占比: 9.11%
图片名称: 002173, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0028 秒, 背景占比: 71.90%, 缺陷占比: 28.10%
图片名称: 001206, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches), 推理用时: 0.0039 秒, 背景占比: 53.91%, 缺陷占比: 46.09%
图片名称: 000208, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0028 秒, 背景占比: 95.56%, 缺陷占比: 4.44%
图片名称: 000905, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0030 秒, 背景占比: 87.70%, 缺陷占比: 12.29%
图片名称: 000170, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0035 秒, 背景占比: 93.39%, 缺陷占比: 6.61%
图片名称: 002473, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0054 秒, 背景占比: 90.59%, 缺陷占比: 9.41%
图片名称: 000630_test, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0050 秒, 背景占比: 81.63%, 缺陷占比: 18.37%
图片名称: 000531_test, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 夹渣(inclusion)、斑块(patches)、划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 93.23%, 缺陷占比: 6.77%
图片名称: 004168, 时间戳: 2025-12-18 17:46:00, 缺陷类别: 斑块(patches)、划痕(scratches), 推理用时: 0.0032 秒, 背景占比: 81.62%, 缺陷占比: 18.38%
图片名称: 001482, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 99.13%, 缺陷占比: 0.87%
图片名称: 003677, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0028 秒, 背景占比: 91.80%, 缺陷占比: 8.21%
图片名称: 002763, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0036 秒, 背景占比: 77.69%, 缺陷占比: 22.31%
图片名称: 003326, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 划痕(scratches), 推理用时: 0.0033 秒, 背景占比: 95.45%, 缺陷占比: 4.55%
图片名称: 003492, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0036 秒, 背景占比: 95.44%, 缺陷占比: 4.57%
图片名称: 002837, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0036 秒, 背景占比: 99.84%, 缺陷占比: 0.16%
图片名称: 000200, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 89.63%, 缺陷占比: 10.37%
图片名称: 003125, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches), 推理用时: 0.0030 秒, 背景占比: 66.90%, 缺陷占比: 33.10%
图片名称: 000658, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 划痕(scratches), 推理用时: 0.0039 秒, 背景占比: 89.90%, 缺陷占比: 10.10%
图片名称: 000299, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0050 秒, 背景占比: 98.89%, 缺陷占比: 1.11%
图片名称: 003884, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0029 秒, 背景占比: 95.97%, 缺陷占比: 4.03%
图片名称: 004055, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0028 秒, 背景占比: 99.00%, 缺陷占比: 1.00%
图片名称: 003190, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches), 推理用时: 0.0046 秒, 背景占比: 87.21%, 缺陷占比: 12.79%
图片名称: 000243_test, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches), 推理用时: 0.0032 秒, 背景占比: 86.91%, 缺陷占比: 13.08%
图片名称: 000318, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches)、划痕(scratches), 推理用时: 0.0031 秒, 背景占比: 56.60%, 缺陷占比: 43.40%
图片名称: 003616, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0038 秒, 背景占比: 84.68%, 缺陷占比: 15.32%
图片名称: 002320, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches), 推理用时: 0.0028 秒, 背景占比: 87.33%, 缺陷占比: 12.68%
图片名称: 001622, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 85.68%, 缺陷占比: 14.32%
图片名称: 002006, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0030 秒, 背景占比: 93.48%, 缺陷占比: 6.51%
图片名称: 004278, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches)、划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 85.65%, 缺陷占比: 14.35%
图片名称: 001320, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches), 推理用时: 0.0028 秒, 背景占比: 58.39%, 缺陷占比: 41.61%
图片名称: 003182, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches), 推理用时: 0.0032 秒, 背景占比: 84.80%, 缺陷占比: 15.20%
图片名称: 000540_test, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 划痕(scratches), 推理用时: 0.0032 秒, 背景占比: 94.30%, 缺陷占比: 5.70%
图片名称: 004030, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0034 秒, 背景占比: 82.83%, 缺陷占比: 17.17%
图片名称: 003310, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0029 秒, 背景占比: 94.31%, 缺陷占比: 5.69%
图片名称: 004094, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0028 秒, 背景占比: 89.71%, 缺陷占比: 10.29%
图片名称: 003312, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0031 秒, 背景占比: 93.79%, 缺陷占比: 6.21%
图片名称: 001573, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0033 秒, 背景占比: 95.82%, 缺陷占比: 4.18%
图片名称: 003765, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0041 秒, 背景占比: 91.36%, 缺陷占比: 8.64%
图片名称: 000290, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 94.78%, 缺陷占比: 5.21%
图片名称: 002490, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0033 秒, 背景占比: 81.95%, 缺陷占比: 18.05%
图片名称: 001469, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches), 推理用时: 0.0039 秒, 背景占比: 78.61%, 缺陷占比: 21.39%
图片名称: 000911, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0034 秒, 背景占比: 77.91%, 缺陷占比: 22.09%
图片名称: 004356, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches)、划痕(scratches), 推理用时: 0.0035 秒, 背景占比: 62.14%, 缺陷占比: 37.86%
图片名称: 000253, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 99.98%, 缺陷占比: 0.01%
图片名称: 000504, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches), 推理用时: 0.0042 秒, 背景占比: 76.12%, 缺陷占比: 23.88%
图片名称: 001249, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches), 推理用时: 0.0035 秒, 背景占比: 92.97%, 缺陷占比: 7.03%
图片名称: 004316, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches)、划痕(scratches), 推理用时: 0.0034 秒, 背景占比: 82.02%, 缺陷占比: 17.98%
图片名称: 000480, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 划痕(scratches), 推理用时: 0.0035 秒, 背景占比: 89.63%, 缺陷占比: 10.37%
图片名称: 001678, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 划痕(scratches), 推理用时: 0.0035 秒, 背景占比: 96.65%, 缺陷占比: 3.35%
图片名称: 003418, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 划痕(scratches), 推理用时: 0.0042 秒, 背景占比: 96.68%, 缺陷占比: 3.32%
图片名称: 000612_test, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0044 秒, 背景占比: 83.90%, 缺陷占比: 16.10%
图片名称: 000163, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0035 秒, 背景占比: 88.46%, 缺陷占比: 11.54%
图片名称: 000031, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0036 秒, 背景占比: 94.48%, 缺陷占比: 5.51%
图片名称: 001452, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches), 推理用时: 0.0040 秒, 背景占比: 91.37%, 缺陷占比: 8.63%
图片名称: 000351, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches), 推理用时: 0.0040 秒, 背景占比: 53.53%, 缺陷占比: 46.47%
图片名称: 002461, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0036 秒, 背景占比: 84.04%, 缺陷占比: 15.96%
图片名称: 000247_test, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches), 推理用时: 0.0036 秒, 背景占比: 72.27%, 缺陷占比: 27.73%
图片名称: 000638_test, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、斑块(patches)、划痕(scratches), 推理用时: 0.0036 秒, 背景占比: 79.41%, 缺陷占比: 20.59%
图片名称: 000412, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 88.91%, 缺陷占比: 11.09%
图片名称: 002969, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches), 推理用时: 0.0040 秒, 背景占比: 79.11%, 缺陷占比: 20.89%
图片名称: 003090, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 85.10%, 缺陷占比: 14.90%
图片名称: 004074, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0040 秒, 背景占比: 96.16%, 缺陷占比: 3.84%
图片名称: 003742, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0036 秒, 背景占比: 92.20%, 缺陷占比: 7.80%
图片名称: 002729, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0047 秒, 背景占比: 82.12%, 缺陷占比: 17.88%
图片名称: 002558, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0041 秒, 背景占比: 98.39%, 缺陷占比: 1.62%
图片名称: 002488, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0036 秒, 背景占比: 86.41%, 缺陷占比: 13.59%
图片名称: 000701, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0042 秒, 背景占比: 82.80%, 缺陷占比: 17.20%
图片名称: 004000, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0041 秒, 背景占比: 89.02%, 缺陷占比: 10.98%
图片名称: 003132, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches), 推理用时: 0.0039 秒, 背景占比: 54.75%, 缺陷占比: 45.25%
图片名称: 002200, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches), 推理用时: 0.0041 秒, 背景占比: 60.13%, 缺陷占比: 39.87%
图片名称: 001350, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches), 推理用时: 0.0056 秒, 背景占比: 84.73%, 缺陷占比: 15.27%
